"Time (sec.)"	"Cycles"	"P1"
35.070915000	35070915	217.000000000
35.136451000	35136451	191.000000000
35.202003000	35202003	127.000000000
35.267555000	35267555	63.000000000
35.333091000	35333091	37.000000000
35.398643000	35398643	17.000000000
35.463738000	35463738	0.000000000
35.529716000	35529716	17.000000000
35.595236000	35595236	37.000000000
35.660772000	35660772	63.000000000
35.726294000	35726294	127.000000000
35.791812000	35791812	191.000000000
35.857348000	35857348	217.000000000
35.922884000	35922884	237.000000000
35.988420000	35988420	255.000000000
36.053956000	36053956	237.000000000
36.119492000	36119492	217.000000000
36.185028000	36185028	191.000000000
36.250580000	36250580	127.000000000
36.316132000	36316132	63.000000000
36.381668000	36381668	37.000000000
36.447220000	36447220	17.000000000
36.512315000	36512315	0.000000000
36.578291000	36578291	17.000000000
36.643811000	36643811	37.000000000
36.709347000	36709347	63.000000000
36.774869000	36774869	127.000000000
36.840387000	36840387	191.000000000
36.905923000	36905923	217.000000000
36.971459000	36971459	237.000000000
37.036995000	37036995	255.000000000
37.102531000	37102531	237.000000000
37.168067000	37168067	217.000000000
37.233603000	37233603	191.000000000
37.299155000	37299155	127.000000000
37.364707000	37364707	63.000000000
37.430243000	37430243	37.000000000
37.495795000	37495795	17.000000000
37.560890000	37560890	0.000000000
37.626868000	37626868	17.000000000
37.692388000	37692388	37.000000000
37.757924000	37757924	63.000000000
37.823446000	37823446	127.000000000
37.888964000	37888964	191.000000000
37.954500000	37954500	217.000000000
38.020036000	38020036	237.000000000
38.085572000	38085572	255.000000000
38.151108000	38151108	237.000000000
38.216644000	38216644	217.000000000
38.282180000	38282180	191.000000000
38.347732000	38347732	127.000000000
38.413284000	38413284	63.000000000
38.478820000	38478820	37.000000000
38.544372000	38544372	17.000000000
38.609467000	38609467	0.000000000
38.675443000	38675443	17.000000000
38.740963000	38740963	37.000000000
38.806499000	38806499	63.000000000
38.872021000	38872021	127.000000000
38.937539000	38937539	191.000000000
39.003075000	39003075	217.000000000
39.068611000	39068611	237.000000000
39.134147000	39134147	255.000000000
39.199683000	39199683	237.000000000
39.265219000	39265219	217.000000000
39.330755000	39330755	191.000000000
39.396307000	39396307	127.000000000
39.461859000	39461859	63.000000000
39.527395000	39527395	37.000000000
39.592947000	39592947	17.000000000
39.658042000	39658042	0.000000000
39.724020000	39724020	17.000000000
39.789540000	39789540	37.000000000
39.855076000	39855076	63.000000000
39.920598000	39920598	127.000000000
39.986116000	39986116	191.000000000
40.051652000	40051652	217.000000000
40.117188000	40117188	237.000000000
40.182724000	40182724	255.000000000
40.248260000	40248260	237.000000000
40.313796000	40313796	217.000000000
40.379332000	40379332	191.000000000
40.444884000	40444884	127.000000000
40.510436000	40510436	63.000000000
40.575972000	40575972	37.000000000
40.641524000	40641524	17.000000000
40.706619000	40706619	0.000000000
40.772595000	40772595	17.000000000
40.838115000	40838115	37.000000000
40.903651000	40903651	63.000000000
40.969173000	40969173	127.000000000
41.034691000	41034691	191.000000000
41.100227000	41100227	217.000000000
41.165763000	41165763	237.000000000
41.231299000	41231299	255.000000000
41.296835000	41296835	237.000000000
41.362371000	41362371	217.000000000
41.427907000	41427907	191.000000000
41.493459000	41493459	127.000000000
41.559011000	41559011	63.000000000
41.624547000	41624547	37.000000000
41.690099000	41690099	17.000000000
41.755194000	41755194	0.000000000
41.821172000	41821172	17.000000000
41.886692000	41886692	37.000000000
41.952228000	41952228	63.000000000
42.017750000	42017750	127.000000000
42.083268000	42083268	191.000000000
42.148804000	42148804	217.000000000
42.214340000	42214340	237.000000000
42.279876000	42279876	255.000000000
42.345412000	42345412	237.000000000
42.410948000	42410948	217.000000000
42.476484000	42476484	191.000000000
42.542036000	42542036	127.000000000
42.607588000	42607588	63.000000000
42.673124000	42673124	37.000000000
42.738676000	42738676	17.000000000
42.803771000	42803771	0.000000000
42.869747000	42869747	17.000000000
42.935267000	42935267	37.000000000
43.000803000	43000803	63.000000000
43.066325000	43066325	127.000000000
43.131843000	43131843	191.000000000
43.197379000	43197379	217.000000000
43.262915000	43262915	237.000000000
43.328451000	43328451	255.000000000
43.393987000	43393987	237.000000000
43.459523000	43459523	217.000000000
43.525059000	43525059	191.000000000
43.590611000	43590611	127.000000000
43.656163000	43656163	63.000000000
43.721699000	43721699	37.000000000
43.787251000	43787251	17.000000000
43.852346000	43852346	0.000000000
43.918324000	43918324	17.000000000
43.983844000	43983844	37.000000000
44.049380000	44049380	63.000000000
44.114902000	44114902	127.000000000
44.180420000	44180420	191.000000000
44.245956000	44245956	217.000000000
44.311492000	44311492	237.000000000
44.377028000	44377028	255.000000000
44.442564000	44442564	237.000000000
44.508100000	44508100	217.000000000
44.573636000	44573636	191.000000000
44.639188000	44639188	127.000000000
44.704740000	44704740	63.000000000
44.770276000	44770276	37.000000000
44.835828000	44835828	17.000000000
44.900923000	44900923	0.000000000
44.966899000	44966899	17.000000000
45.032419000	45032419	37.000000000
45.097955000	45097955	63.000000000
45.163477000	45163477	127.000000000
45.228995000	45228995	191.000000000
45.294531000	45294531	217.000000000
45.360067000	45360067	237.000000000
45.425603000	45425603	255.000000000
45.491139000	45491139	237.000000000
45.556675000	45556675	217.000000000
45.622211000	45622211	191.000000000
45.687763000	45687763	127.000000000
45.753315000	45753315	63.000000000
45.818851000	45818851	37.000000000
45.884403000	45884403	17.000000000
45.949498000	45949498	0.000000000
46.015476000	46015476	17.000000000
46.080996000	46080996	37.000000000
46.146532000	46146532	63.000000000
46.212054000	46212054	127.000000000
46.277572000	46277572	191.000000000
46.343108000	46343108	217.000000000
46.408644000	46408644	237.000000000
46.474180000	46474180	255.000000000
46.539716000	46539716	237.000000000
46.605252000	46605252	217.000000000
46.670788000	46670788	191.000000000
46.736340000	46736340	127.000000000
46.801892000	46801892	63.000000000
46.867428000	46867428	37.000000000
46.932980000	46932980	17.000000000
46.998075000	46998075	0.000000000
47.064051000	47064051	17.000000000
47.129571000	47129571	37.000000000
47.195107000	47195107	63.000000000
47.260629000	47260629	127.000000000
47.326147000	47326147	191.000000000
47.391683000	47391683	217.000000000
47.457219000	47457219	237.000000000
47.522755000	47522755	255.000000000
47.588291000	47588291	237.000000000
47.653827000	47653827	217.000000000
47.719363000	47719363	191.000000000
47.784915000	47784915	127.000000000
47.850467000	47850467	63.000000000
47.916003000	47916003	37.000000000
47.981555000	47981555	17.000000000
48.046650000	48046650	0.000000000
48.112628000	48112628	17.000000000
48.178148000	48178148	37.000000000
48.243684000	48243684	63.000000000
48.309206000	48309206	127.000000000
48.374724000	48374724	191.000000000
48.440260000	48440260	217.000000000
48.505796000	48505796	237.000000000
48.571332000	48571332	255.000000000
48.636868000	48636868	237.000000000
48.702404000	48702404	217.000000000
48.767940000	48767940	191.000000000
48.833492000	48833492	127.000000000
48.899044000	48899044	63.000000000
48.964580000	48964580	37.000000000
49.030132000	49030132	17.000000000
49.095227000	49095227	0.000000000
49.161203000	49161203	17.000000000
49.226723000	49226723	37.000000000
49.292259000	49292259	63.000000000
49.357781000	49357781	127.000000000
49.423299000	49423299	191.000000000
49.488835000	49488835	217.000000000
49.554371000	49554371	237.000000000
49.619907000	49619907	255.000000000
49.685443000	49685443	237.000000000
49.750979000	49750979	217.000000000
49.816515000	49816515	191.000000000
49.882067000	49882067	127.000000000
49.947619000	49947619	63.000000000
50.013155000	50013155	37.000000000
50.078707000	50078707	17.000000000
50.143802000	50143802	0.000000000
50.209780000	50209780	17.000000000
50.275300000	50275300	37.000000000
50.340836000	50340836	63.000000000
50.406358000	50406358	127.000000000
50.471876000	50471876	191.000000000
50.537412000	50537412	217.000000000
50.602948000	50602948	237.000000000
50.668484000	50668484	255.000000000
50.734020000	50734020	237.000000000
50.799556000	50799556	217.000000000
50.865092000	50865092	191.000000000
50.930644000	50930644	127.000000000
50.996196000	50996196	63.000000000
51.061732000	51061732	37.000000000
51.127284000	51127284	17.000000000
51.192379000	51192379	0.000000000
51.258355000	51258355	17.000000000
51.323875000	51323875	37.000000000
51.389411000	51389411	63.000000000
51.454933000	51454933	127.000000000
51.520451000	51520451	191.000000000
51.585987000	51585987	217.000000000
51.651523000	51651523	237.000000000
51.717059000	51717059	255.000000000
51.782595000	51782595	237.000000000
51.848131000	51848131	217.000000000
51.913667000	51913667	191.000000000
51.979219000	51979219	127.000000000
52.044771000	52044771	63.000000000
52.110307000	52110307	37.000000000
52.175859000	52175859	17.000000000
52.240954000	52240954	0.000000000
52.306932000	52306932	17.000000000
52.372452000	52372452	37.000000000
52.437988000	52437988	63.000000000
52.503510000	52503510	127.000000000
52.569028000	52569028	191.000000000
52.634564000	52634564	217.000000000
52.700100000	52700100	237.000000000
52.765636000	52765636	255.000000000
52.831172000	52831172	237.000000000
52.896708000	52896708	217.000000000
52.962244000	52962244	191.000000000
53.027796000	53027796	127.000000000
53.093348000	53093348	63.000000000
53.158884000	53158884	37.000000000
53.224436000	53224436	17.000000000
53.289531000	53289531	0.000000000
53.355507000	53355507	17.000000000
53.421027000	53421027	37.000000000
53.486563000	53486563	63.000000000
53.552085000	53552085	127.000000000
53.617603000	53617603	191.000000000
53.683139000	53683139	217.000000000
53.748675000	53748675	237.000000000
53.814211000	53814211	255.000000000
53.879747000	53879747	237.000000000
53.945283000	53945283	217.000000000
54.010819000	54010819	191.000000000
54.076371000	54076371	127.000000000
54.141923000	54141923	63.000000000
54.207459000	54207459	37.000000000
54.273011000	54273011	17.000000000
54.338106000	54338106	0.000000000
54.404084000	54404084	17.000000000
54.469604000	54469604	37.000000000
54.535140000	54535140	63.000000000
54.600662000	54600662	127.000000000
54.666180000	54666180	191.000000000
54.731716000	54731716	217.000000000
54.797252000	54797252	237.000000000
54.862788000	54862788	255.000000000
54.928324000	54928324	237.000000000
54.993860000	54993860	217.000000000
55.059396000	55059396	191.000000000
55.124948000	55124948	127.000000000
55.190500000	55190500	63.000000000
55.256036000	55256036	37.000000000
55.321588000	55321588	17.000000000
55.386683000	55386683	0.000000000
55.452659000	55452659	17.000000000
55.518179000	55518179	37.000000000
55.583715000	55583715	63.000000000
55.649237000	55649237	127.000000000
55.714755000	55714755	191.000000000
55.780291000	55780291	217.000000000
55.845827000	55845827	237.000000000
55.911363000	55911363	255.000000000
55.976899000	55976899	237.000000000
56.042435000	56042435	217.000000000
56.107971000	56107971	191.000000000
56.173523000	56173523	127.000000000
56.239075000	56239075	63.000000000
56.304611000	56304611	37.000000000
56.370163000	56370163	17.000000000
56.435258000	56435258	0.000000000
56.501236000	56501236	17.000000000
56.566756000	56566756	37.000000000
56.632292000	56632292	63.000000000
56.697814000	56697814	127.000000000
56.763332000	56763332	191.000000000
56.828868000	56828868	217.000000000
56.894404000	56894404	237.000000000
56.959940000	56959940	255.000000000
